Name,UDID
Unknown,0x000
Phone,0x001
Desktop Workstation,0x01
Server-class Computer,0x02
Laptop,0x03
Handheld PC/PDA (clamshell),0x04
Palm-size PC/PDA,0x05
Wearable computer (watch size),0x06
Tablet,0x07
Docking Station,0x08
All in One,0x09
Blade Server,0x0A
Convertible,0x0B
Detachable,0x0C
IoT Gateway,0x0D
Mini PC,0x0E
Stick PC,0x0F
Sports Watch,0x01
Smartwatch,0x02
Clock,0x004
Display,0x005
Remote Control,0x006
Eye-glasses,0x007
Tag,0x008
Keyring,0x009
Media Player,0x00A
Barcode Scanner,0x00B
Ear Thermometer,0x01
Heart Rate Belt,0x01
Arm Blood Pressure,0x01
Wrist Blood Pressure,0x02
Keyboard,0x01
Mouse,0x02
Joystick,0x03
Gamepad,0x04
Digitizer Tablet,0x05
Card Reader,0x06
Digital Pen,0x07
Barcode Scanner,0x08
Touchpad,0x09
Presentation Remote,0x0A
Glucose Meter,0x010
In-Shoe Running Walking Sensor,0x01
On-Shoe Running Walking Sensor,0x02
On-Hip Running Walking Sensor,0x03
Cycling Computer,0x01
Speed Sensor,0x02
Cadence Sensor,0x03
Power Sensor,0x04
Speed and Cadence Sensor,0x05
Switch,0x01
Multi-switch,0x02
Button,0x03
Slider,0x04
Rotary Switch,0x05
Touch Panel,0x06
Single Switch,0x07
Double Switch,0x08
Triple Switch,0x09
Battery Switch,0x0A
Energy Harvesting Switch,0x0B
Push Button,0x0C
Dial,0x0D
Access Point,0x01
Mesh Device,0x02
Mesh Network Proxy,0x03
Motion Sensor,0x01
Air quality Sensor,0x02
Temperature Sensor,0x03
Humidity Sensor,0x04
Leak Sensor,0x05
Smoke Sensor,0x06
Occupancy Sensor,0x07
Contact Sensor,0x08
Carbon Monoxide Sensor,0x09
Carbon Dioxide Sensor,0x0A
Ambient Light Sensor,0x0B
Energy Sensor,0x0C
Color Light Sensor,0x0D
Rain Sensor,0x0E
Fire Sensor,0x0F
Wind Sensor,0x10
Proximity Sensor,0x11
Multi-Sensor,0x12
Flush Mounted Sensor,0x13
Ceiling Mounted Sensor,0x14
Wall Mounted Sensor,0x15
Multisensor,0x16
Energy Meter,0x17
Flame Detector,0x18
Vehicle Tire Pressure Sensor,0x19
Wall Light,0x01
Ceiling Light,0x02
Floor Light,0x03
Cabinet Light,0x04
Desk Light,0x05
Troffer Light,0x06
Pendant Light,0x07
In-ground Light,0x08
Flood Light,0x09
Underwater Light,0x0A
Bollard with Light,0x0B
Pathway Light,0x0C
Garden Light,0x0D
Pole-top Light,0x0E
Spotlight,0x0F
Linear Light,0x10
Street Light,0x11
Shelves Light,0x12
Bay Light,0x13
Emergency Exit Light,0x14
Light Controller,0x15
Light Driver,0x16
Bulb,0x17
Low-bay Light,0x18
High-bay Light,0x19
Ceiling Fan,0x01
Axial Fan,0x02
Exhaust Fan,0x03
Pedestal Fan,0x04
Desk Fan,0x05
Wall Fan,0x06
Thermostat,0x01
Humidifier,0x02
De-humidifier,0x03
Heater,0x04
Radiator,0x05
Boiler,0x06
Heat Pump,0x07
Infrared Heater,0x08
Radiant Panel Heater,0x09
Fan Heater,0x0A
Air Curtain,0x0B
Air Conditioning,0x019
Humidifier,0x01A
Radiator,0x01
Boiler,0x02
Heat Pump,0x03
Infrared Heater,0x04
Radiant Panel Heater,0x05
Fan Heater,0x06
Air Curtain,0x07
Access Door,0x01
Garage Door,0x02
Emergency Exit Door,0x03
Access Lock,0x04
Elevator,0x05
Window,0x06
Entrance Gate,0x07
Door Lock,0x08
Locker,0x09
Motorized Gate,0x01
Awning,0x02
Blinds or Shades,0x03
Curtains,0x04
Screen,0x05
Power Outlet,0x01
Power Strip,0x02
Plug,0x03
Power Supply,0x04
LED Driver,0x05
Fluorescent Lamp Gear,0x06
HID Lamp Gear,0x07
Charge Case,0x08
Power Bank,0x09
Incandescent Light Bulb,0x01
LED Lamp,0x02
HID Lamp,0x03
Fluorescent Lamp,0x04
LED Array,0x05
Multi-Color LED Array,0x06
Low voltage halogen,0x07
Organic light emitting diode (OLED),0x08
Window Shades,0x01
Window Blinds,0x02
Window Awning,0x03
Window Curtain,0x04
Exterior Shutter,0x05
Exterior Screen,0x06
Standalone Speaker,0x01
Soundbar,0x02
Bookshelf Speaker,0x03
Standmounted Speaker,0x04
Speakerphone,0x05
Microphone,0x01
Alarm,0x02
Bell,0x03
Horn,0x04
Broadcasting Device,0x05
Service Desk,0x06
Kiosk,0x07
Broadcasting Room,0x08
