Company,UDIDs
"Neurable, Inc",0x10E1
Arnold & Richter Cine Technik GmbH & Co. Betriebs KG,0x10E0
Hawkeye Surgical Lighting LLC,0x10DF
"Gastron Co.,Ltd",0x10DE
Triumph Designs Ltd,0x10DD
Spectra Precision (Kaiserslautern) GmbH,0x10DC
"SZ Avinox Innovation Co., Ltd.",0x10DB
"SKAIChips Co.,Ltd",0x10DA
Liebherr-Hausgeraete GmbH,0x10D9
Westfalen Aktiengesellschaft,0x10D8
Arashi Vision Inc.,0x10D7
UltronSMART Inc.,0x10D6
IntelliDesign Pty Ltd,0x10D5
Victor Hasselblad AB,0x10D4
AGCO Corporation,0x10D3
Hehku Company Oy,0x10D2
Acer Inc.,0x10D1
"Band24, LLC",0x10D0
"Tempur World, LLC",0x10CF
Inito Health Inc.,0x10CE
Kumho Tire,0x10CD
Linde GmbH,0x10CC
"The90, Inc.",0x10CB
FairPhone B.V,0x10CA
Tractian Technologies Inc.,0x10C9
mylife Diabetes Care AG,0x10C8
CHIYODA TECHNOL CORPORATION,0x10C7
Piscisea Tech Inc,0x10C6
Cardinal Scale Mfg,0x10C5
OPICA GmbH,0x10C4
TECH FASS s.r.o.,0x10C3
"SainStore Technology Co., Ltd.",0x10C2
"Shenzhen ECO-NEWLEAF CO., LTD",0x10C1
Minda Corporation Ltd,0x10C0
"All Inspire Health, Inc.",0x10BF
"UNIVERSAL REMOTE CONTROL, INC.",0x10BE
Variowell Development GmbH,0x10BD
Harley-Davidson Motor Company,0x10BC
VERGESENSE INC,0x10BB
"Noble HiFi, LLC",0x10BA
"CYNC Labs, Inc.",0x10B9
Palarum LLC,0x10B8
"Fosilicon Co., Ltd",0x10B7
"SHENZHEN CHINA MICRO SEMICON CO.,LIMITED",0x10B6
SpartanLync Technologies Corp.,0x10B5
"Solabs Technology (HK) Co., Limited",0x10B4
"HOSEOTELNET Co., Ltd.",0x10B3
"Shenzhen Xunzong Zhilian Technology Co., Ltd.",0x10B2
"Senops Tracker, LLC",0x10B1
VSC Synapse LLC,0x10B0
Hangzhou SDIC Microelectronics Inc.,0x10AF
Raycon Inc.,0x10AE
CoreHW Semiconductor Oy,0x10AD
"ATsens Co.,Ltd.",0x10AC
"ObjectSpectrum, LLC",0x10AB
"Sigenergy Technology Co., Ltd.",0x10AA
Mallow,0x10A9
"Zhejiang Wanyou Intelligent Technology Co., Ltd.",0x10A8
"Pedigree Technologies, LLC",0x10A7
Lightnovo ApS,0x10A6
Cebreo Medical A/S,0x10A5
RAPIDISE TECHNOLOGY PRIVATE LIMITED,0x10A4
BQT Solutions (NZ) Limited,0x10A3
Audio Research Corporation,0x10A2
flexlog GmbH,0x10A1
inContAlert GmbH,0x10A0
"Shenzhen Hali-Power Industrial Co., Ltd.",0x109F
"SHIBAURA ELECTRONICS CO., LTD.",0x109E
terumo,0x109D
KIBLE,0x109C
Tensoli GmbH,0x109B
MONNIT CORPORATION,0x109A
Selco GmbH,0x1099
smart-TEC GmbH & Co. KG,0x1098
"Knox Associates, Inc.",0x1097
Aktv8 LLC,0x1096
CardiaMetrics,0x1095
"Personal Products Co., Ltd.",0x1094
Mindspire Limited,0x1093
BXB DIGITAL PTY LIMITED,0x1092
COSEL ELEKTRONIK OTOMASYON SISTEMLERI SANAYI VE TICARET LIMITED SIRKETI,0x1091
"NAGANO KEIKI CO., LTD.",0x1090
SkyCell AG,0x108F
Industrial Computing Limited,0x108E
DEWINE Labs GmbH,0x108D
Tiny Displays Inc.,0x108C
PERUN TECH SP. Z O.O.,0x108B
Grayhill Inc.,0x108A
"DEER MANAGEMENT SYSTEMS, LLC",0x1089
"Sesame AI, Inc.",0x1088
Matisse Interactif inc.,0x1087
M3SH TECHNOLOGY INC.,0x1086
FUTURE INTELLIGENCE TECHNOLOGY SINGAPORE PTE. LTD.,0x1085
"24x8, LLC",0x1084
SYSTEM LOCO LTD,0x1083
"AIR PRODUCTS AND CHEMICALS, INC.",0x1082
Australis Scientific Pty Ltd.,0x1081
Knit Sound Company,0x1080
Anton Paar ConsumerTec GmbH,0x107F
Belford investment holdings pty ltd,0x107E
IMPACT-BZ LTD,0x107D
Martin.Care GmbH,0x107C
E.J. Brooks Company,0x107B
CodaHD LLC,0x107A
Digimax Innovative Products LTD.,0x1079
augment AI Inc.,0x1078
"Shenzhen Muyu Technology Co., Ltd.",0x1077
ALPHADIF,0x1076
"TM-TECHNOLOGIES, JSC",0x1075
"CenTrak, Inc.",0x1074
"Hong Kong Future lntelligent Technology Co., Limited",0x1073
ALTESSA SOLUTIONS INC.,0x1072
IZYBAT,0x1071
"TLV Co.,LTD.",0x1070
Prosaris Solutions Ltd.,0x106F
STRYDE LIMITED,0x106E
Rokstar Holdings Limited,0x106D
Global Electronics,0x106C
GORDON MURRAY GROUP LIMITED,0x106B
OSKEY,0x106A
Remoticom B.V.,0x1069
"Hotron Co., Ltd.",0x1068
"Shenzhen FHX Precision Hardware & Plastic Co., Ltd.",0x1067
Algiz AS,0x1066
"HIGH HIT ENTERPRISE CO., LTD.",0x1065
Shearwater Research Inc.,0x1064
Field Line Automation Ltd,0x1063
Framason Audio S.A,0x1062
VCS Vision Control Solutions GmbH,0x1061
"TOMOE VALVE CO.,LTD",0x1060
Chip-pump Microelectronics,0x105F
Zuuka Limited,0x105E
"Williams Sound, LLC",0x105D
"YANMAR HOLDINGS CO., LTD.",0x105C
Fairbanks Scales Inc.,0x105B
ArjoHuntleigh AB,0x105A
"Shenzhen Shuye Technology Co.,Ltd.",0x1059
"Gravity (Shenzhen)Space Technology Co., Ltd",0x1058
RSA Security LLC,0x1057
CLM-Solutions,0x1056
"NewNet, Inc.",0x1055
Romcor Pty Ltd,0x1054
"Sensorworx, Inc.",0x1053
"CHOZEN International CO., LTD.",0x1052
UnlimitedIRL LLC,0x1051
"Hangzhou Sneuro Medical Co., Ltd.",0x1050
Safety Lighting Research Pty Ltd,0x104F
LSC Control Systems Pty Ltd,0x104E
